,Posted On,BHK,Rent,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
3859,2022-05-06,2,8500,886,2 out of 3,Super Area,Pallavan Nagar-Thiruverkadu,Chennai,Unfurnished,Family,2,Contact Owner
3967,2022-07-06,3,50000,2290,4 out of 24,Super Area,"Nallagandla, Serilingampally",Hyderabad,Semi-Furnished,Bachelors,3,Contact Agent
1893,2022-06-23,2,13000,780,1 out of 3,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent
2522,2022-07-03,2,22000,800,3 out of 3,Super Area,Chhattarpur,Delhi,Furnished,Bachelors/Family,2,Contact Owner
2803,2022-05-18,1,8000,450,Ground out of 4,Carpet Area,Chhattarpur Enclave,Delhi,Unfurnished,Bachelors,1,Contact Agent
1837,2022-06-08,3,3500000,2500,4 out of 4,Carpet Area,Marathahalli,Bangalore,Semi-Furnished,Bachelors,3,Contact Agent
4328,2022-05-16,2,13000,1250,2 out of 6,Super Area,"LB Nagar, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
4032,2022-05-29,2,12000,1175,5 out of 5,Super Area,Shamirpet,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
3063,2022-07-08,2,16000,850,Ground out of 2,Super Area,Mambalam West,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
1143,2022-06-16,4,290000,1500,5 out of 15,Carpet Area,"Benchmark Solus, Waterfield Road",Mumbai,Furnished,Bachelors/Family,3,Contact Agent
397,2022-06-28,4,35000,800,Ground out of 1,Super Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,3,Contact Owner
3438,2022-06-21,3,22000,1450,8 out of 10,Carpet Area,Old Mahabalipuram Road,Chennai,Furnished,Bachelors/Family,3,Contact Owner
1859,2022-05-23,1,8000,600,Ground out of 3,Super Area,Uttarahalli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
2663,2022-06-18,3,27000,1800,2 out of 4,Carpet Area,"Jagriti Enclave, Anand Vihar",Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent
4092,2022-06-10,2,14000,1300,Ground out of 2,Super Area,Bandlaguda Jagir,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
2536,2022-05-10,3,16000,100,3 out of 4,Super Area,"Jamia Nagar, Okhla",Delhi,Furnished,Bachelors/Family,2,Contact Owner
1398,2022-06-02,1,12000,225,7 out of 7,Carpet Area,Ashok Van,Mumbai,Unfurnished,Family,1,Contact Owner
1659,2022-05-05,3,21000,1159,4 out of 5,Super Area,Electronic City,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
4507,2022-05-12,2,15000,850,3 out of 5,Super Area,"Banjara Hills, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,1,Contact Owner
1096,2022-07-06,3,75000,1088,16 out of 37,Carpet Area,"Sunteck City Avenue 1, Goregaon West",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
3683,2022-05-17,3,40000,1250,2 out of 4,Carpet Area,T Nagar,Chennai,Semi-Furnished,Bachelors,3,Contact Agent
1741,2022-05-23,1,6000,400,1 out of 3,Super Area,"Mangammanapalya, Hosur Road",Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
1350,2022-05-18,2,38000,700,14 out of 23,Carpet Area,"Sky Villa, Gokuldham",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
2384,2022-06-26,3,80000,1800,1 out of 3,Carpet Area,South Extension 1,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Owner
979,2022-06-24,1,23000,500,3 out of 9,Super Area,Chembur,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent
283,2022-06-12,1,17500,480,1 out of 2,Carpet Area,Rabindra Sarovar Metro,Kolkata,Furnished,Bachelors,2,Contact Owner
1736,2022-05-17,2,10000,1000,2 out of 2,Super Area,Mathikere,Bangalore,Semi-Furnished,Bachelors,2,Contact Owner
1298,2022-06-12,2,22000,550,2 out of 7,Carpet Area,"Salasar Garden, Beverly Park",Mumbai,Furnished,Family,2,Contact Agent
3128,2022-07-08,3,11000,800,Ground out of 3,Super Area,Medavakkam,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
898,2022-07-07,4,180000,1750,9 out of 31,Carpet Area,Andheri West,Mumbai,Semi-Furnished,Bachelors,4,Contact Agent
3646,2022-06-25,2,13000,925,1 out of 2,Carpet Area,Nest bliss sholinganallur,Chennai,Unfurnished,Bachelors,2,Contact Owner
3747,2022-06-15,1,8000,650,1 out of 3,Carpet Area,Sholinganallur,Chennai,Unfurnished,Bachelors,1,Contact Owner
82,2022-05-23,2,15000,480,Ground out of 3,Carpet Area,shukhobrishti,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
2264,2022-06-02,3,100000,1950,3 out of 3,Carpet Area,Koramangala Block 3,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Agent
3412,2022-06-28,2,10000,750,1 out of 2,Carpet Area,Medavakkam,Chennai,Unfurnished,Bachelors,2,Contact Owner
613,2022-05-31,2,50000,1000,4 out of 7,Super Area,Ghatkopar East,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner
3883,2022-06-21,3,48000,1798,7 out of 14,Super Area,Kondapur,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent
2107,2022-04-29,2,12000,750,1 out of 3,Super Area,"Electronics City Phase 1, Electronic City",Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
2640,2022-04-29,1,4500,400,1 out of 2,Super Area,Sagar Pur,Delhi,Unfurnished,Bachelors/Family,1,Contact Owner
423,2022-06-19,2,12000,550,2 out of 3,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent
4127,2022-07-08,2,17000,1000,3 out of 5,Carpet Area,"Madinaguda, Hafeezpet, NH 9",Hyderabad,Furnished,Bachelors,2,Contact Owner
4311,2022-07-06,2,18000,1150,2 out of 5,Carpet Area,Kondapur,Hyderabad,Semi-Furnished,Bachelors,2,Contact Agent
3065,2022-06-28,3,22000,2000,Ground out of 1,Super Area,"Pushpa Colony, Saligramam",Chennai,Semi-Furnished,Family,2,Contact Owner
1565,2022-06-06,1,10000,600,Ground out of 1,Carpet Area,"Jeevan Bima Nagar, Airport Road",Bangalore,Semi-Furnished,Bachelors,1,Contact Owner
4686,2022-05-01,2,9000,850,2 out of 2,Super Area,"Sai Raghavendra Colony, uppal",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
3918,2022-06-19,2,8000,1020,3 out of 4,Super Area,Hydershakote,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
3491,2022-05-25,2,13000,1100,2 out of 4,Carpet Area,Irumbuliyur,Chennai,Unfurnished,Family,2,Contact Owner
839,2022-05-19,5,450000,3400,2 out of 5,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent
500,2022-06-08,2,6000,800,3 out of 4,Super Area,Thakurpukur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
611,2022-06-17,2,50000,750,8 out of 16,Carpet Area,"Green Park Apartment, Millat Nagar",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
141,2022-05-11,1,13000,1200,2 out of 4,Super Area,Kasba,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
549,2022-06-02,2,8000,650,Upper Basement out of 9,Carpet Area,"Nakoda Heights, Nalasopara",Mumbai,Semi-Furnished,Family,2,Contact Agent
557,2022-06-13,2,32000,586,Ground out of 4,Super Area,"Everard Nagar Co Operative Housing Society, Sion East",Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
887,2022-07-06,1,32000,400,3 out of 7,Carpet Area,"Trans Residency, Andheri East",Mumbai,Furnished,Bachelors/Family,1,Contact Agent
1377,2022-05-18,1,24000,430,6 out of 7,Carpet Area,"Bhoomi Elegant, Thakur Complex",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
1626,2022-06-20,3,17000,1450,Ground out of 2,Super Area,Rayasandra,Bangalore,Semi-Furnished,Bachelors/Family,3,Contact Owner
4157,2022-07-06,2,20000,1200,2 out of 5,Carpet Area,Kondapur,Hyderabad,Semi-Furnished,Bachelors,2,Contact Agent
2677,2022-06-18,2,25000,900,3 out of 4,Carpet Area,"Jagriti Enclave, Anand Vihar",Delhi,Semi-Furnished,Bachelors,2,Contact Agent
218,2022-06-19,4,30000,1600,Ground out of 1,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors,2,Contact Agent
3595,2022-05-06,1,6500,506,1 out of 2,Super Area,Pallikaranai,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
3194,2022-06-29,1,12000,550,Ground out of 3,Super Area,"Purasawalkam, PH Road",Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
1760,2022-06-02,2,14000,900,4 out of 5,Carpet Area,"Kaggadasapura, Indira nagar",Bangalore,Semi-Furnished,Bachelors,2,Contact Agent
1138,2022-05-14,1,40000,475,18 out of 23,Carpet Area,"Sanghvi Evana, Worli",Mumbai,Unfurnished,Bachelors,1,Contact Agent
209,2022-06-04,3,18000,1200,1 out of 3,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
4728,2022-07-06,3,30000,1700,6 out of 13,Super Area,K P H B Phase 9,Hyderabad,Semi-Furnished,Family,3,Contact Agent
4071,2022-07-05,3,22000,3000,3 out of 5,Carpet Area,sri sai arcade madinaguda,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
1787,2022-06-04,2,20000,1100,1 out of 3,Super Area,Kodi Halli,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
4049,2022-05-06,2,9000,720,1 out of 3,Super Area,"Beeramguda, Ramachandra Puram, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
550,2022-06-27,1,20000,275,19 out of 24,Carpet Area,Worli,Mumbai,Unfurnished,Bachelors,1,Contact Agent
1424,2022-07-04,2,75000,750,4 out of 13,Carpet Area,"Utkarsh CHS, Prabhadevi",Mumbai,Furnished,Bachelors/Family,2,Contact Agent
4409,2022-07-02,5,50000,3500,2 out of 3,Carpet Area,"Ramanthapur, NH 2 2",Hyderabad,Unfurnished,Bachelors/Family,6,Contact Owner
3826,2022-06-16,3,16000,1000,1 out of 3,Carpet Area,Ponniammanmedu,Chennai,Unfurnished,Bachelors,2,Contact Owner
3288,2022-07-08,4,100000,2500,16 out of 18,Carpet Area,Sholinganallur,Chennai,Unfurnished,Bachelors/Family,4,Contact Agent
948,2022-06-30,1,11000,390,Ground out of 4,Carpet Area,Mira Road East,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent
1652,2022-05-23,1,7500,600,1 out of 2,Super Area,Bommanahalli,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
4347,2022-05-12,2,9000,950,2 out of 3,Super Area,Chanda Nagar,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
1897,2022-06-20,1,9000,500,Ground out of 4,Super Area,Maruthi Sevanagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
532,2022-06-08,1,22000,460,2 out of 8,Super Area,Sion,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner
4245,2022-07-03,2,13000,1300,2 out of 2,Carpet Area,Sainikpuri,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
3914,2022-06-22,2,11000,850,1 out of 3,Super Area,Mehdipatnam,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
3529,2022-05-06,2,8000,550,1 out of 3,Super Area,"Perungalathur, Chennai Bypass Road",Chennai,Unfurnished,Bachelors,1,Contact Owner
2893,2022-07-07,1,9000,400,2 out of 3,Carpet Area,Pitampura,Delhi,Unfurnished,Bachelors/Family,2,Contact Agent
1602,2022-05-23,1,6000,400,3 out of 4,Super Area,Thammenahalli Apartmentge,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
4453,2022-06-15,3,16000,1305,2 out of 5,Super Area,Bowenpally,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
639,2022-07-09,3,190000,1514,34 out of 58,Carpet Area,"Bombay Dyeing Two ICC, Dadar East",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent
4589,2022-07-02,2,13000,200,3 out of 3,Carpet Area,Puppalaguda,Hyderabad,Unfurnished,Family,2,Contact Owner
1782,2022-06-04,1,6000,400,3 out of 4,Super Area,Doddanagamangala,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
967,2022-07-06,2,68000,805,12 out of 68,Carpet Area,"Auris Serenity, Kanch Pada",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent
0,2022-05-18,2,10000,1100,Ground out of 2,Super Area,Bandel,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
3163,2022-06-27,2,11000,960,1 out of 3,Super Area,Kovilambakkam,Chennai,Semi-Furnished,Family,2,Contact Owner
3799,2022-05-25,3,70000,1450,Ground out of 2,Super Area,Madipakkam,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
4656,2022-06-29,2,16000,1000,4 out of 5,Super Area,"Indis VB CITY, Bollaram railway station",Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
3337,2022-07-06,2,30000,1100,Ground out of 4,Super Area,Nandanam Extension,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2157,2022-05-11,2,14000,110,1 out of 2,Carpet Area,RT Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
4188,2022-05-06,2,12000,200,1 out of 1,Carpet Area,railway employees housing colony Bollarum,Hyderabad,Unfurnished,Bachelors,2,Contact Owner
247,2022-05-31,3,10000,1200,2 out of 4,Super Area,Belghoria,Kolkata,Furnished,Bachelors/Family,1,Contact Owner
2290,2022-07-07,1,15000,455,2 out of 4,Carpet Area,"Murugeshpalya, Airport Road",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Agent
2603,2022-05-05,1,10000,450,1 out of 5,Super Area,Paschim Vihar,Delhi,Furnished,Bachelors/Family,1,Contact Owner
1089,2022-05-16,2,200000,1000,7 out of 8,Carpet Area,Union Park,Mumbai,Furnished,Bachelors/Family,2,Contact Agent
3323,2022-05-20,2,22000,850,2 out of 3,Super Area,Virugambakkam,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
3244,2022-05-23,1,6500,450,2 out of 3,Carpet Area,Mahindra World City,Chennai,Semi-Furnished,Bachelors/Family,1,Contact Owner
3976,2022-06-26,2,9000,1200,Ground out of 1,Super Area,"Boduppal, NH 2 2",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
288,2022-06-05,3,7500,1000,Ground out of 2,Carpet Area,south station pally dankuni,Kolkata,Furnished,Bachelors/Family,2,Contact Owner
930,2022-06-23,3,110000,1076,9 out of 40,Carpet Area,"Lodha New Cuffe Parade, Wadala East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
2623,2022-05-11,3,140000,2200,Ground out of 3,Super Area,Defence Colony,Delhi,Unfurnished,Bachelors/Family,3,Contact Agent
2829,2022-05-05,2,20000,110,Ground out of 2,Super Area,Karawal Nagar,Delhi,Semi-Furnished,Bachelors/Family,1,Contact Owner
2330,2022-05-05,2,11000,800,Ground out of 1,Super Area,"Panduranga Nagar, bannerghatta main Road",Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
2807,2022-06-30,3,90000,1872,1 out of 5,Super Area,Greater Kailash 1,Delhi,Semi-Furnished,Bachelors/Family,3,Contact Agent
4223,2022-05-07,2,20000,1450,2 out of 6,Super Area,"Somajiguda, NH 9",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
272,2022-06-28,3,9000,1700,1 out of 2,Super Area,Panchanantala Road,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
4736,2022-06-28,3,15000,1500,Lower Basement out of 2,Super Area,Almasguda,Hyderabad,Semi-Furnished,Family,3,Contact Owner
2083,2022-05-27,2,14000,1200,Ground out of 2,Super Area,Ramamurthy Nagar,Bangalore,Unfurnished,Bachelors/Family,2,Contact Owner
3662,2022-06-18,1,10000,550,2 out of 3,Carpet Area,"Luz, Mylapore",Chennai,Unfurnished,Bachelors,1,Contact Owner
278,2022-06-12,2,15000,900,Ground out of 1,Super Area,"Park Circus, Ballygunge",Kolkata,Unfurnished,Bachelors,1,Contact Owner
952,2022-06-24,3,160000,2000,Upper Basement out of 30,Carpet Area,"Flora Heights, Andheri West",Mumbai,Furnished,Family,3,Contact Agent
3081,2022-06-22,3,12000,930,2 out of 8,Super Area,"Kelambakkam, Old Mahabalipuram Road",Chennai,Semi-Furnished,Family,2,Contact Owner
2240,2022-05-27,2,16000,1333,2 out of 4,Super Area,"Ms Palya, Vidyaranyapura",Bangalore,Unfurnished,Bachelors,2,Contact Owner
3008,2022-06-02,2,15000,1200,Ground out of 2,Super Area,Ramapuram,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
3035,2022-06-02,1,8900,550,Ground out of 1,Carpet Area,"Karambakkam, Porur",Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
2915,2022-07-04,2,19000,1800,1 out of 2,Carpet Area,"Naveen Shahdara, Shahdara",Delhi,Unfurnished,Bachelors,1,Contact Owner
3518,2022-05-20,3,110000,1435,5 out of 15,Super Area,Nungambakkam,Chennai,Furnished,Bachelors/Family,3,Contact Owner
3309,2022-05-30,2,8200,850,2 out of 2,Super Area,Anakaputhur,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
4429,2022-06-14,2,15000,1100,1 out of 4,Super Area,"Dilsukh Nagar, NH 9",Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
1698,2022-06-04,2,17000,1000,3 out of 4,Super Area,Bommanahalli,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
4660,2022-06-20,3,22000,1800,4 out of 5,Carpet Area,Mokila,Hyderabad,Semi-Furnished,Bachelors/Family,3,Contact Agent
3414,2022-05-02,2,20000,980,3 out of 3,Super Area,Perumbakkam,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
3268,2022-04-30,2,8000,800,Lower Basement out of 3,Carpet Area,"Kamakshiamman Nagar Layout, Iyyappanthangal",Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
4023,2022-07-02,2,16000,1210,3 out of 5,Super Area,Secunderabad,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
4377,2022-05-23,1,32000,1050,2 out of 3,Carpet Area,"Banjara Hills, NH 9",Hyderabad,Furnished,Bachelors,1,Contact Agent
155,2022-06-08,2,10000,700,1 out of 2,Super Area,Benia Pukur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner
3613,2022-07-10,3,40000,1400,3 out of 5,Carpet Area,Nandambakkam,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Agent
985,2022-07-01,3,110000,1350,12 out of 20,Carpet Area,"Atur Park, Chembur",Mumbai,Semi-Furnished,Bachelors,4,Contact Agent
2547,2022-07-04,2,45000,1000,2 out of 3,Super Area,"Kailash Colony, Greater Kailash",Delhi,Furnished,Bachelors/Family,2,Contact Owner
3307,2022-07-06,2,23999,610,2 out of 4,Carpet Area,"Kannan Colony, Pazhavanthangal",Chennai,Furnished,Bachelors/Family,1,Contact Agent
3313,2022-05-29,2,15000,800,1 out of 2,Carpet Area,Adambakkam,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
4536,2022-07-05,3,22000,1800,1 out of 2,Carpet Area,Old Bowenpally,Hyderabad,Semi-Furnished,Family,3,Contact Owner
981,2022-06-23,3,45000,950,15 out of 17,Carpet Area,IC Colony,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
4395,2022-05-20,2,25000,1150,1 out of 5,Super Area,Madhapur,Hyderabad,Furnished,Bachelors/Family,2,Contact Owner
1751,2022-05-23,2,15000,976,1 out of 3,Super Area,"Jaya Nagar Block 5, Jayanagar",Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
3903,2022-05-06,2,12500,1400,Ground out of 4,Super Area,Nizampet,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
2772,2022-05-05,3,30000,250,1 out of 2,Super Area,Mausam Vihar,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Owner
4035,2022-07-06,2,20000,950,1 out of 5,Super Area,Masab Tank,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
942,2022-07-07,2,36000,620,3 out of 14,Carpet Area,Datta Pada,Mumbai,Semi-Furnished,Family,2,Contact Agent
2697,2022-05-21,1,9000,550,1 out of 4,Super Area,"DDA Flats Sarita Vihar, Sarita Vihar, Mathura Road",Delhi,Semi-Furnished,Bachelors/Family,1,Contact Agent
3370,2022-06-18,2,16000,1400,2 out of 2,Carpet Area,Madipakkam,Chennai,Semi-Furnished,Bachelors,3,Contact Owner
1400,2022-07-09,1,30000,330,13 out of 40,Carpet Area,Malad East,Mumbai,Furnished,Family,1,Contact Agent
1595,2022-05-10,1,8000,600,Ground out of 3,Super Area,Rajajinagar,Bangalore,Unfurnished,Bachelors/Family,1,Contact Owner
210,2022-06-21,2,8000,450,1 out of 2,Carpet Area,Andul,Kolkata,Unfurnished,Bachelors,1,Contact Owner
3505,2022-07-03,2,10000,850,2 out of 2,Super Area,Madambakkam,Chennai,Unfurnished,Bachelors,2,Contact Owner
1457,2022-05-31,2,55000,720,1 out of 6,Carpet Area,"diamond garden, Chembur East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
1509,2022-05-10,1,9500,900,Ground out of 2,Super Area,J P Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1,Contact Owner
1395,2022-06-01,2,27000,600,18 out of 20,Carpet Area,"Royal Palms, Goregaon East",Mumbai,Unfurnished,Bachelors,2,Contact Agent
264,2022-06-19,1,6000,320,Ground out of 2,Carpet Area,Sahid Nagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
3382,2022-06-18,3,35000,2000,2 out of 2,Super Area,Iyyappanthangal,Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner
1499,2022-06-04,2,17000,1040,4 out of 4,Super Area,C V Raman Nagar,Bangalore,Furnished,Bachelors/Family,2,Contact Owner
700,2022-07-06,3,140000,1064,7 out of 22,Carpet Area,"Rustomjee Seasons, Bandra East",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent
4369,2022-05-19,3,26000,1700,7 out of 14,Carpet Area,"Hafeezpet, NH 9",Hyderabad,Semi-Furnished,Family,3,Contact Owner
644,2022-06-04,1,18000,300,4 out of 6,Super Area,Vile Parle West,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner
4689,2022-07-06,1,6500,600,2 out of 3,Super Area,"Kukatpally, NH 9",Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
1405,2022-05-28,2,22000,670,4 out of 12,Carpet Area,"Prathamesh Heritage, Beverly Park",Mumbai,Furnished,Family,2,Contact Agent
2499,2022-05-21,2,14000,615,2 out of 4,Carpet Area,Laxmi Nagar,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
929,2022-05-19,1,30000,600,5 out of 5,Carpet Area,Mulund Railway Station,Mumbai,Furnished,Bachelors/Family,1,Contact Owner
4467,2022-05-12,2,13000,800,2 out of 3,Super Area,Qutub Shahi Tombs,Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
195,2022-05-09,2,6000,700,1 out of 2,Super Area,Barasat-Barrackpore Road,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner
3413,2022-05-06,3,45000,1780,1 out of 5,Super Area,"Kamaraj Nagar-Thiruvanmiyur, E Coast Road",Chennai,Semi-Furnished,Bachelors/Family,3,Contact Owner
3365,2022-05-01,2,11500,700,1 out of 1,Carpet Area,Madipakkam,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
2473,2022-05-18,1,13000,400,Ground out of 4,Carpet Area,Chhattarpur Enclave,Delhi,Semi-Furnished,Bachelors,1,Contact Agent
1860,2022-07-04,2,15000,850,Ground out of 3,Super Area,Horamavu,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
1818,2022-05-05,2,11000,1000,2 out of 4,Super Area,K R Puram,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
4619,2022-06-10,2,15000,600,1 out of 2,Super Area,"Murad Nagar, Lal Darwaza, Falaknuma Road",Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
246,2022-05-06,2,7000,600,2 out of 2,Super Area,"Park Circus, Ballygunge",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner
3543,2022-05-25,2,16500,700,Ground out of 3,Super Area,Ashok Nagar,Chennai,Semi-Furnished,Bachelors/Family,2,Contact Owner
1758,2022-06-16,2,14500,850,Ground out of 3,Super Area,Basava Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Agent
4618,2022-06-14,1,7500,350,2 out of 4,Super Area,Gudimalkapur,Hyderabad,Unfurnished,Bachelors/Family,1,Contact Owner
2610,2022-06-18,3,21000,2200,Ground out of 2,Carpet Area,Vivek Vihar,Delhi,Semi-Furnished,Bachelors/Family,2,Contact Agent
923,2022-07-06,4,260000,2500,3 out of 7,Carpet Area,Khar West,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent
2174,2022-04-29,2,15000,1000,1 out of 4,Super Area,"Jp Nagar Phase 7, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,2,Contact Owner
1185,2022-05-14,2,55000,905,10 out of 37,Carpet Area,"Sunteck City Avenue 1, Goregaon West",Mumbai,Unfurnished,Bachelors,2,Contact Agent
268,2022-06-22,2,15000,650,Ground out of 2,Carpet Area,kasba bosepukur,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner
669,2022-06-04,2,50000,750,8 out of 16,Carpet Area,"Safal Saraswati, Chembur",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent
1556,2022-05-11,4,84000,3150,8 out of 19,Carpet Area,Banashankari,Bangalore,Unfurnished,Bachelors,4,Contact Owner
3138,2022-05-08,2,8500,900,Ground out of 2,Super Area,Anakaputhur,Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
3761,2022-06-25,1,10000,600,4 out of 5,Super Area,Mugalivakkam,Chennai,Unfurnished,Bachelors/Family,1,Contact Owner
2186,2022-06-08,4,190000,4000,Ground out of 2,Super Area,Koramangala,Bangalore,Furnished,Bachelors/Family,5,Contact Owner
2818,2022-07-01,2,9500,650,Ground out of 3,Super Area,Mayur Vihar,Delhi,Unfurnished,Bachelors/Family,2,Contact Owner
2974,2022-06-15,3,85000,325,1 out of 3,Carpet Area,Defence Colony,Delhi,Unfurnished,Bachelors,3,Contact Agent
3398,2022-06-14,2,9000,750,1 out of 3,Super Area,"Korattur, Jawaharlal Nehru Road",Chennai,Unfurnished,Bachelors/Family,2,Contact Owner
1910,2022-06-30,4,160000,4500,4 out of 4,Carpet Area,Langford Gardens,Bangalore,Unfurnished,Bachelors,4,Contact Agent
4390,2022-05-31,2,10000,1100,2 out of 2,Super Area,"Chandanagar, NH 9",Hyderabad,Unfurnished,Bachelors/Family,3,Contact Owner
4574,2022-05-06,3,18000,1400,4 out of 5,Super Area,"Saidabad Colony, Sayeedabad",Hyderabad,Semi-Furnished,Bachelors/Family,2,Contact Owner
4005,2022-06-02,2,8000,690,2 out of 4,Super Area,New Malakpet,Hyderabad,Unfurnished,Bachelors/Family,2,Contact Owner
648,2022-07-06,2,53000,750,12 out of 19,Carpet Area,"Lake Florence, Powai",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent
